ÝL NO;ÝL ADI;ADANA;ADIYAMAN;AFYON;AÐRI;AMASYA;ANKARA;ANTALYA;ARTVÝN;AYDIN;BALIKESÝR;BÝLECÝK;BÝNGÖL;BÝTLÝS;BOLU;BURDUR;BURSA;ÇANAKKALE;ÇANKIRI;ÇORUM;DENÝZLÝ;DÝYARBAKIR;EDÝRNE;ELAZIÐ;ERZÝNCAN;ERZURUM;ESKÝÞEHÝR;GAZÝANTEP;GÝRESUN;GÜMÜÞHANE;HAKKARÝ;HATAY;ISPARTA;ÝÇEL;ÝSTANBUL;ÝZMÝR;KARS;KASTAMONU;KAYSERÝ;KIRKLARELÝ;KIRÞEHÝR;KOCAELÝ;KONYA;KÜTAHYA;MALATYA;MANÝSA;KAHRAMANMARAÞ;MARDÝN;MUÐLA;MUÞ;NEVÞEHÝR;NÝÐDE;ORDU;RÝZE;SAKARYA;SAMSUN;SÝÝRT;SÝNOP;SÝVAS;TEKÝRDAÐ;TOKAT;TRABZON;TUNCELÝ;ÞANLIURFA;UÞAK;VAN;YOZGAT;ZONGULDAK;AKSARAY;BAYBURT;KARAMAN;KIRIKKALE;BATMAN;ÞIRNAK;BARTIN;ARDAHAN;IÐDIR;YALOVA;KARABÜK;KÝLÝS;OSMANÝYE;DÜZCE;ÝL ADI;ÝL NO;;;
56;SÝÝRT;708;388;1281;331;886;1093;1260;659;1591;1609;1397;284;97;1284;1374;1466;1737;1106;950;1468;187;1776;340;557;446;1315;496;809;646;284;690;1324;777;1546;1608;529;1139;775;1757;909;1435;1064;1381;436;1592;552;230;1571;180;856;903;853;812;1398;1003;;1144;666;1678;774;747;426;359;1397;260;890;1355;931;568;997;1022;87;95;1322;588;434;1500;1253;555;621;1329;SÝÝRT;56;;;
57;SÝNOP;846;888;668;897;258;412;949;722;1010;844;633;864;1056;420;834;693;964;281;267;887;957;912;804;591;716;645;854;350;513;1329;952;833;839;682;991;916;183;548;893;487;571;635;723;724;975;778;1052;1032;973;563;641;306;561;534;155;1144;;478;814;372;486;722;972;780;1127;375;399;591;591;746;386;1057;1239;366;831;1007;636;297;913;883;465;SÝNOP;57;;;
58;SÝVAS;423;410;695;619;220;439;810;656;1023;974;754;468;660;629;806;823;1094;440;284;900;479;1121;326;248;438;672;415;298;356;950;513;756;492;891;1018;638;473;194;1102;324;780;496;750;246;1002;339;574;1045;577;273;320;314;497;743;338;666;478;;1023;108;422;379;494;807;795;224;689;348;378;495;364;579;761;656;660;729;845;587;474;444;674;SÝVAS;58;;;
59;TEKÝRDAÐ;1071;1340;586;1541;803;585;850;1433;630;379;379;1443;1635;394;728;375;188;627;746;664;1491;140;1340;1170;1360;456;1252;1061;1224;1942;1262;727;1064;132;506;1560;642;903;121;769;243;794;486;1242;511;1176;1577;729;1552;860;929;1017;1272;280;866;1678;814;1023;;917;1197;1301;1389;604;1770;800;463;806;1259;907;660;1591;1760;552;1542;1651;308;528;1311;1158;349;TEKÝRDAÐ;59;;;
60;TOKAT;492;518;635;677;114;379;871;634;977;914;694;576;768;523;801;763;1034;334;178;854;587;1015;434;306;496;612;484;262;373;1058;582;766;561;785;958;696;367;263;996;319;674;557;690;354;942;408;682;999;685;339;389;218;473;637;230;774;372;108;917;;398;437;602;747;903;207;583;414;395;564;304;687;869;550;718;787;739;481;543;513;568;TOKAT;60;;;
61;TRABZON;845;779;1000;485;459;744;1232;236;1342;1227;1016;484;650;803;1166;1076;1347;659;503;1219;628;1295;501;234;304;977;837;136;101;917;935;1131;914;1065;1323;438;621;616;1276;717;954;918;1055;597;1307;761;723;1364;567;695;742;180;75;917;331;747;486;422;1197;398;;365;804;1112;715;605;837;770;179;917;669;681;842;804;345;572;1019;735;896;866;848;TRABZON;61;;;
62;TUNCELÝ;624;414;1072;424;498;816;1176;461;1402;1331;1120;142;334;907;1185;1180;1451;746;590;1279;277;1399;136;131;243;1049;472;427;264;641;606;1135;693;1169;1395;443;751;571;1380;703;1058;875;1127;232;1379;452;372;1424;251;652;699;456;440;1021;577;426;722;379;1301;437;365;;443;1184;469;603;967;727;260;874;741;339;521;934;465;534;1123;865;531;537;952;TUNCELÝ;62;;;
63;ÞANLIURFA;349;110;922;617;714;804;901;726;1232;1250;1108;320;383;995;1015;1177;1448;834;767;1109;176;1487;319;574;500;1026;137;792;703;560;331;965;418;1257;1249;703;946;486;1468;620;1146;705;1022;266;1233;213;188;1212;433;567;554;808;879;1109;832;359;972;494;1389;602;804;443;;1038;546;661;1072;614;625;638;733;272;371;1087;730;720;1211;1019;196;262;1040;ÞANLIURFA;63;;;
64;UÞAK;689;1025;116;1424;701;368;294;1348;273;225;251;1214;1406;459;172;311;424;499;609;150;1214;632;1074;1053;1243;217;901;976;1120;1598;880;171;681;493;211;1443;611;637;649;541;382;339;139;976;195;881;1226;295;1323;556;575;932;1187;345;781;1397;780;807;604;747;1112;1184;1038;;1541;583;528;481;1142;452;443;1310;1409;617;1457;1534;379;559;937;776;414;UÞAK;64;;;
65;VAN;895;575;1425;230;967;1222;1447;569;1735;1746;1526;331;163;1376;1518;1595;1866;1215;1059;1612;370;1868;469;600;414;1444;683;777;614;202;877;1468;964;1638;1752;365;1220;904;1849;1038;1527;1208;1522;565;1736;739;447;1757;218;985;1032;821;722;1490;972;260;1127;795;1770;903;715;469;546;1541;;1019;1436;1060;536;1184;1151;298;355;1403;452;225;1592;1334;742;808;1421;VAN;65;;;
66;YOZGAT;473;612;471;843;200;215;684;841;813;750;530;692;884;406;637;599;870;245;108;690;703;898;550;472;662;448;524;469;580;1174;622;602;466;668;794;862;300;175;879;112;557;370;526;470;778;448;798;835;801;190;268;425;680;520;280;890;375;224;800;207;605;603;661;583;1019;;483;222;602;432;140;803;985;483;884;953;622;414;583;553;451;YOZGAT;66;;;
67;ZONGULDAK;754;1023;489;1207;469;268;753;1073;787;493;282;1109;1301;159;631;342;613;295;412;674;1168;561;1015;836;1026;359;935;701;864;1608;945;630;747;331;667;1226;216;586;542;452;220;522;389;925;632;859;1260;819;1218;543;612;657;912;183;506;1355;399;689;463;583;837;967;1072;528;1436;483;;489;925;633;343;1268;1443;89;1182;1317;285;102;994;841;114;ZONGULDAK;67;;;
68;AKSARAY;265;593;365;967;422;225;462;1004;675;693;525;733;925;412;458;594;865;310;330;552;744;904;593;596;786;443;477;646;704;1174;456;408;258;674;692;986;422;156;885;110;563;148;465;495;676;429;802;697;842;75;123;632;845;526;502;931;591;348;806;414;770;727;614;481;1060;222;489;;726;210;209;844;985;504;1008;1077;628;436;513;352;457;AKSARAY;68;;;
69;BAYBURT;801;654;1030;306;456;774;1188;343;1372;1289;1078;305;471;865;1184;1138;1409;704;548;1249;449;1357;396;155;125;1007;732;241;78;738;866;1134;870;1127;1353;325;709;572;1338;702;1016;874;1085;492;1337;712;544;1394;388;651;698;285;254;979;436;568;591;378;1259;395;179;260;625;1142;536;602;925;726;;873;699;502;663;892;347;416;1081;823;791;797;910;BAYBURT;69;;;
70;KARAMAN;289;625;336;1114;616;369;374;1151;641;664;533;880;1021;556;419;602;863;465;530;518;814;1005;740;743;933;451;501;793;851;1198;480;368;235;775;663;1133;577;303;986;320;664;119;436;642;647;481;826;660;989;257;175;782;992;627;702;997;746;495;907;564;917;874;638;452;1184;432;633;210;873;;364;910;1009;648;1155;1224;662;580;537;376;601;KARAMAN;70;;;
71;KIRIKKALE;474;684;331;981;258;75;567;905;673;610;390;824;1016;266;497;459;730;105;166;550;835;758;684;610;800;308;596;533;677;1293;665;462;467;528;654;1000;217;247;739;113;417;253;386;586;638;520;921;695;933;204;286;489;744;380;338;1022;386;364;660;304;669;741;733;443;1151;140;343;209;699;364;;935;1104;358;1014;1091;482;290;655;561;311;KIRIKKALE;71;;;
72;BATMAN;621;301;1194;369;799;1006;1173;603;1504;1522;1310;197;135;1197;1287;1379;1650;1019;863;1381;100;1689;253;470;377;1228;409;743;580;371;603;1237;690;1459;1521;567;1052;688;1670;822;1348;977;1294;349;1505;465;149;1484;218;769;816;787;756;1311;916;87;1057;579;1591;687;681;339;272;1310;298;803;1268;844;502;910;935;;182;1235;607;472;1413;1166;468;534;1242;BATMAN;72;;;
73;ÞIRNAK;720;480;1293;426;981;1175;1272;754;1603;1621;1479;379;192;1366;1386;1548;1819;1201;1045;1480;282;1858;435;652;541;1397;508;904;741;189;702;1336;789;1628;1620;624;1234;857;1839;991;1517;1076;1393;531;1604;584;209;1583;275;938;925;948;907;1480;1098;95;1239;761;1760;869;842;521;371;1409;355;985;1443;985;663;1009;1104;182;;1417;683;529;1582;1348;567;633;1411;ÞIRNAK;73;;;
74;BARTIN;769;1038;515;1174;436;283;803;1040;857;582;371;1076;1268;174;681;431;702;282;379;734;1135;650;982;803;993;448;950;668;831;1575;960;680;762;420;756;1193;183;601;631;467;309;537;478;902;721;874;1230;879;1185;558;627;624;879;272;473;1322;366;656;552;550;804;934;1087;617;1403;483;89;504;892;648;358;1235;1417;;1149;1284;374;89;1009;856;203;BARTIN;74;;;
75;ARDAHAN;1036;759;1345;310;779;1089;1470;117;1683;1572;1361;410;491;1148;1466;1421;1692;1004;848;1560;554;1640;548;412;230;1322;867;481;425;654;1018;1416;1105;1410;1668;93;966;854;1621;984;1299;1156;1400;644;1652;864;649;1705;408;933;980;525;270;1262;676;588;831;660;1542;718;345;465;730;1457;452;884;1182;1008;347;1155;1014;607;683;1149;;227;1364;1080;926;949;1193;ARDAHAN;75;;;
76;IÐDIR;1069;749;1422;143;848;1166;1539;344;1752;1681;1470;474;337;1257;1535;1530;1801;1096;940;1629;544;1749;612;481;294;1399;857;657;494;427;1051;1485;1138;1519;1745;140;1101;923;1730;1053;1408;1225;1477;708;1729;913;621;1774;388;1002;1049;701;497;1371;852;434;1007;729;1651;787;572;534;720;1534;225;953;1317;1077;416;1224;1091;472;529;1284;227;;1473;1215;916;982;1302;IÐDIR;76;;;
77;YALOVA;893;1162;341;1363;625;407;605;1255;510;216;129;1265;1457;216;483;69;336;449;568;499;1313;406;1162;992;1182;211;1074;883;1046;1764;1084;482;886;176;390;1382;464;725;387;591;65;549;241;1064;355;998;1399;609;1374;682;751;839;1094;102;688;1500;636;845;308;739;1019;1123;1211;379;1592;622;285;628;1081;662;482;1413;1582;374;1364;1473;;350;1133;980;171;YALOVA;77;;;
78;KARABÜK;701;970;447;1105;367;215;735;971;789;558;347;1007;1199;134;613;407;678;193;310;666;1066;626;913;734;924;424;882;599;762;1506;892;612;694;396;732;1124;114;533;607;399;285;469;454;833;697;806;1161;811;1116;490;559;555;810;248;404;1253;297;587;528;481;735;865;1019;559;1334;414;102;436;823;580;290;1166;1348;89;1080;1215;350;;941;788;179;KARABÜK;78;;;
79;KÝLÝS;248;209;821;813;655;726;800;922;1131;1149;1018;516;579;917;914;1087;1348;756;689;1008;372;1409;397;662;696;936;63;772;795;756;146;864;317;1179;1148;899;868;408;1390;542;1068;604;921;299;1132;135;384;1111;629;489;453;761;971;1031;773;555;913;474;1311;543;896;531;196;937;742;583;994;513;791;537;655;468;567;1009;926;916;1133;941;;161;962;KÝLÝS;79;;;
80;OSMANÝYE;87;249;660;879;625;577;639;945;970;988;857;543;645;764;753;926;1187;662;659;847;438;1256;403;668;719;775;125;742;800;822;129;703;156;1026;987;922;774;378;1237;462;915;443;760;305;971;105;450;950;652;374;292;731;941;878;743;621;883;444;1158;513;866;537;262;776;808;553;841;352;797;376;561;534;633;856;949;982;980;788;161;;809;OSMANÝYE;80;;;
81;DÜZCE;722;991;375;1192;454;236;639;1084;673;379;168;1094;1286;45;517;228;499;278;397;560;1142;447;991;821;1011;245;903;712;875;1593;913;516;715;217;553;1211;293;554;428;420;106;490;275;893;518;827;1228;705;1203;511;580;668;923;69;517;1329;465;674;349;568;848;952;1040;414;1421;451;114;457;910;601;311;1242;1411;203;1193;1302;171;179;962;809;;DÜZCE;81;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
