ÝL NO;ÝL ADI;ADANA;ADIYAMAN;AFYON;AÐRI;AMASYA;ANKARA;ANTALYA;ARTVÝN;AYDIN;BALIKESÝR;BÝLECÝK;BÝNGÖL;BÝTLÝS;BOLU;BURDUR;BURSA;ÇANAKKALE;ÇANKIRI;ÇORUM;DENÝZLÝ;DÝYARBAKIR;EDÝRNE;ELAZIÐ;ERZÝNCAN;ERZURUM;ESKÝÞEHÝR;GAZÝANTEP;GÝRESUN;GÜMÜÞHANE;HAKKARÝ;HATAY;ISPARTA;ÝÇEL;ÝSTANBUL;ÝZMÝR;KARS;KASTAMONU;KAYSERÝ;KIRKLARELÝ;KIRÞEHÝR;KOCAELÝ;KONYA;KÜTAHYA;MALATYA;MANÝSA;KAHRAMANMARAÞ;MARDÝN;MUÐLA;MUÞ;NEVÞEHÝR;NÝÐDE;ORDU;RÝZE;SAKARYA;SAMSUN;SÝÝRT;SÝNOP;SÝVAS;TEKÝRDAÐ;TOKAT;TRABZON;TUNCELÝ;ÞANLIURFA;UÞAK;VAN;YOZGAT;ZONGULDAK;AKSARAY;BAYBURT;KARAMAN;KIRIKKALE;BATMAN;ÞIRNAK;BARTIN;ARDAHAN;IÐDIR;YALOVA;KARABÜK;KÝLÝS;OSMANÝYE;DÜZCE;ÝL ADI;ÝL NO;;;
13;BÝTLÝS;732;412;1290;234;832;1087;1284;562;1600;1611;1391;196;;1241;1383;1460;1731;1080;924;1477;207;1733;334;465;349;1309;520;712;549;335;714;1333;801;1503;1617;432;1085;769;1714;903;1392;1073;1387;430;1601;576;284;1595;83;850;897;756;715;1355;907;97;1056;660;1635;768;650;334;383;1406;163;884;1301;925;471;1021;1016;135;192;1268;491;337;1457;1199;579;645;1286;BÝTLÝS;13;;;
14;BOLU;677;946;420;1147;409;191;684;1039;718;424;213;1049;1241;;562;273;544;233;352;605;1097;492;946;776;966;290;858;667;830;1548;868;561;670;262;598;1166;248;509;473;375;151;445;320;848;563;782;1183;750;1158;466;535;623;878;114;472;1284;420;629;394;523;803;907;995;459;1376;406;159;412;865;556;266;1197;1366;174;1148;1257;216;134;917;764;45;BOLU;14;;;
15;BURDUR;666;1002;170;1425;755;422;122;1402;272;397;354;1191;1383;562;;419;596;553;663;150;1191;804;1051;1054;1244;302;878;1030;1162;1575;857;51;605;596;374;1444;665;614;807;568;485;314;242;953;358;858;1203;241;1300;533;552;986;1241;448;835;1374;834;806;728;801;1166;1185;1015;172;1518;637;631;458;1184;419;497;1287;1386;681;1466;1535;483;613;914;753;517;BURDUR;15;;;
16;BURSA;839;1128;277;1420;682;384;541;1312;445;151;95;1268;1460;273;419;;271;506;625;434;1279;419;1128;1049;1239;151;1040;940;1103;1737;1030;418;831;243;325;1439;521;691;436;557;132;489;177;1030;290;964;1365;544;1377;648;717;896;1151;159;745;1466;693;823;375;763;1076;1180;1177;311;1595;599;342;594;1138;602;459;1379;1548;431;1421;1530;69;407;1087;926;228;BURSA;16;;;
17;ÇANAKKALE;1100;1399;527;1691;953;655;704;1583;450;199;366;1539;1731;544;596;271;;777;896;484;1550;216;1399;1320;1510;422;1311;1211;1374;2008;1291;595;1092;320;326;1710;792;962;233;828;399;750;427;1301;331;1235;1636;549;1648;919;986;1167;1422;430;1016;1737;964;1094;188;1034;1347;1451;1448;424;1866;870;613;865;1409;863;730;1650;1819;702;1692;1801;336;678;1348;1187;499;ÇANAKKALE;17;;;
18;ÇANKIRI;575;785;387;986;248;131;668;895;729;657;446;888;1080;233;553;506;777;;156;606;919;725;766;615;805;364;697;523;682;1387;766;552;568;495;710;1005;112;348;706;214;384;354;442;686;694;621;1014;751;997;305;387;479;734;347;328;1106;281;440;627;334;659;746;834;499;1215;245;295;310;704;465;105;1019;1201;282;1004;1096;449;193;756;662;278;ÇANKIRI;18;;;
19;ÇORUM;579;694;497;830;92;241;733;739;839;776;556;732;924;352;663;625;896;156;;716;763;844;610;459;649;474;630;367;526;1231;728;628;572;614;820;849;196;281;825;220;503;419;552;530;804;554;858;861;841;296;374;323;578;466;172;950;267;284;746;178;503;590;767;609;1059;108;412;330;548;530;166;863;1045;379;848;940;568;310;689;659;397;ÇORUM;19;;;
20;DENÝZLÝ;760;1096;223;1519;808;475;220;1455;126;285;397;1285;1477;605;150;434;484;606;716;;1285;692;1145;1148;1338;355;972;1083;1227;1669;951;165;703;639;224;1538;718;708;709;648;528;410;285;1047;208;952;1297;145;1394;627;646;1039;1294;491;888;1468;887;900;664;854;1219;1279;1109;150;1612;690;674;552;1249;518;550;1381;1480;734;1560;1629;499;666;1008;847;560;DENÝZLÝ;20;;;
21;DÝYARBAKIR;525;205;1098;441;699;906;1077;550;1408;1426;1210;144;207;1097;1191;1279;1550;919;763;1285;;1589;153;408;324;1128;313;690;527;471;507;1141;594;1359;1425;527;952;588;1570;722;1248;881;1198;249;1409;369;95;1388;257;669;716;733;703;1211;817;187;957;479;1491;587;628;277;176;1214;370;703;1168;744;449;814;835;100;282;1135;554;544;1313;1066;372;438;1142;DÝYARBAKIR;21;;;
22;EDÝRNE;1169;1438;684;1639;901;683;912;1531;658;407;477;1541;1733;492;804;419;216;725;844;692;1589;;1438;1268;1458;554;1350;1159;1322;2040;1360;803;1162;230;534;1658;740;1001;62;867;341;892;584;1340;539;1274;1675;757;1650;958;1027;1115;1370;378;964;1776;912;1121;140;1015;1295;1399;1487;632;1868;898;561;904;1357;1005;758;1689;1858;650;1640;1749;406;626;1409;1256;447;EDÝRNE;22;;;
23;ELAZIÐ;490;280;958;496;546;755;1042;544;1268;1279;1059;142;334;946;1051;1128;1399;766;610;1145;153;1438;;267;318;977;338;563;400;624;472;1001;559;1208;1285;521;799;437;1419;571;1097;741;1055;98;1269;318;248;1290;251;518;565;592;576;1060;664;340;804;326;1340;434;501;136;319;1074;469;550;1015;593;396;740;684;253;435;982;548;612;1162;913;397;403;991;ELAZIÐ;23;;;
24;ERZÝNCAN;671;545;941;371;367;685;1058;408;1271;1200;989;273;465;776;1054;1049;1320;615;459;1148;408;1268;267;;190;918;603;296;133;772;737;1004;740;1038;1264;390;620;442;1249;572;927;744;996;363;1248;583;503;1293;382;521;568;325;309;890;446;557;591;248;1170;306;234;131;574;1053;600;472;836;596;155;743;610;470;652;803;412;481;992;734;662;668;821;ERZÝNCAN;24;;;
25;ERZURUM;806;529;1131;184;557;875;1248;226;1461;1390;1179;180;349;966;1244;1239;1510;805;649;1338;324;1458;318;190;;1108;637;366;203;616;788;1194;875;1228;1454;203;810;632;1439;762;1117;934;1186;414;1438;634;419;1483;266;711;758;410;379;1080;561;446;716;438;1360;496;304;243;500;1243;414;662;1026;786;125;933;800;377;541;993;230;294;1182;924;696;719;1011;ERZURUM;25;;;
26;ESKÝÞEHÝR;688;977;144;1289;566;233;424;1213;478;302;82;1117;1309;290;302;151;422;364;474;355;1128;554;977;918;1108;;889;841;985;1586;879;301;680;324;411;1308;476;540;535;406;213;338;78;879;395;813;1214;500;1226;497;566;797;1052;176;646;1315;645;672;456;612;977;1049;1026;217;1444;448;359;443;1007;451;308;1228;1397;448;1322;1399;211;424;936;775;245;ESKÝÞEHÝR;26;;;
27;GAZÝANTEP;212;150;785;754;596;667;764;863;1095;1113;971;457;520;858;878;1040;1311;697;630;972;313;1350;338;603;637;889;;713;736;697;194;828;281;1120;1112;840;809;349;1331;483;1009;568;885;240;1096;76;325;1075;570;430;417;702;912;972;714;496;854;415;1252;484;837;472;137;901;683;524;935;477;732;501;596;409;508;950;867;857;1074;882;63;125;903;GAZÝANTEP;27;;;
28;GÝRESUN;721;708;864;547;323;608;1100;372;1206;1091;880;546;712;667;1030;940;1211;523;367;1083;690;1159;563;296;366;841;713;;163;979;811;995;790;929;1187;566;485;492;1140;581;818;786;919;544;1171;637;785;1228;629;571;618;44;211;781;195;809;350;298;1061;262;136;427;792;976;777;469;701;646;241;793;533;743;904;668;481;657;883;599;772;742;712;GÝRESUN;28;;;
29;GÜMÜÞHANE;779;678;1008;384;434;752;1166;337;1350;1254;1043;383;549;830;1162;1103;1374;682;526;1227;527;1322;400;133;203;985;736;163;;816;869;1112;848;1092;1331;403;648;550;1303;680;981;852;1063;496;1315;695;622;1372;466;629;676;207;176;944;358;646;513;356;1224;373;101;264;703;1120;614;580;864;704;78;851;677;580;741;831;425;494;1046;762;795;800;875;GÜMÜÞHANE;29;;;
30;HAKKARÝ;909;669;1482;432;1139;1364;1461;771;1792;1810;1668;503;335;1548;1575;1737;2008;1387;1231;1669;471;2040;624;772;616;1586;697;979;816;;891;1525;978;1810;1809;567;1392;1046;2021;1180;1699;1265;1582;720;1793;773;398;1772;390;1127;1114;1023;924;1662;1174;284;1329;950;1942;1058;917;641;560;1598;202;1174;1608;1174;738;1198;1293;371;189;1575;654;427;1764;1506;756;822;1593;HAKKARÝ;30;;;
31;HATAY;191;318;764;948;694;681;743;1014;1074;1092;961;612;714;868;857;1030;1291;766;728;951;507;1360;472;737;788;879;194;811;869;891;;807;260;1130;1091;991;878;447;1341;566;1019;547;864;374;1075;174;519;1054;721;478;396;800;1010;982;812;690;952;513;1262;582;935;606;331;880;877;622;945;456;866;480;665;603;702;960;1018;1051;1084;892;146;129;913;HATAY;31;;;
32;ISPARTA;616;952;169;1375;720;421;130;1367;288;396;353;1141;1333;561;51;418;595;552;628;165;1141;803;1001;1004;1194;301;828;995;1112;1525;807;;581;595;382;1394;664;564;806;518;484;263;241;903;366;808;1153;292;1250;483;502;951;1206;447;800;1324;833;756;727;766;1131;1135;965;171;1468;602;630;408;1134;368;462;1237;1336;680;1416;1485;482;612;864;703;516;ISPARTA;32;;;
